time,value,raw_value
2025-06-19 10:04:30.703 UTC,Brake pedal released,0
2025-06-19 10:04:30.803 UTC,Brake pedal released,0
2025-06-19 10:04:30.902 UTC,Brake pedal released,0
2025-06-19 10:04:31.003 UTC,Brake pedal released,0
2025-06-19 10:04:31.103 UTC,Brake pedal released,0
2025-06-19 10:04:31.203 UTC,Brake pedal released,0
2025-06-19 10:04:31.303 UTC,Brake pedal released,0
2025-06-19 10:04:31.403 UTC,Brake pedal released,0
2025-06-19 10:04:31.503 UTC,Brake pedal released,0
2025-06-19 10:04:31.603 UTC,Brake pedal released,0
2025-06-19 10:04:31.702 UTC,Brake pedal released,0
2025-06-19 10:04:31.803 UTC,Brake pedal released,0
2025-06-19 10:04:31.902 UTC,Brake pedal released,0
2025-06-19 10:04:32.003 UTC,Brake pedal released,0
2025-06-19 10:04:32.103 UTC,Brake pedal released,0
2025-06-19 10:04:32.202 UTC,Brake pedal released,0
2025-06-19 10:04:32.303 UTC,Brake pedal released,0
2025-06-19 10:04:32.403 UTC,Brake pedal released,0
2025-06-19 10:04:32.502 UTC,Brake pedal released,0
2025-06-19 10:04:32.603 UTC,Brake pedal released,0
2025-06-19 10:04:32.703 UTC,Brake pedal released,0
2025-06-19 10:04:32.803 UTC,Brake pedal released,0
2025-06-19 10:04:32.903 UTC,Brake pedal released,0
2025-06-19 10:04:33.002 UTC,Brake pedal released,0
2025-06-19 10:04:33.103 UTC,Brake pedal released,0
2025-06-19 10:04:33.203 UTC,Brake pedal released,0
2025-06-19 10:04:33.302 UTC,Brake pedal released,0
2025-06-19 10:04:33.402 UTC,Brake pedal released,0
2025-06-19 10:04:33.502 UTC,Brake pedal released,0
2025-06-19 10:04:33.602 UTC,Brake pedal released,0
2025-06-19 10:04:33.702 UTC,Brake pedal released,0
2025-06-19 10:04:33.802 UTC,Brake pedal released,0
2025-06-19 10:04:33.902 UTC,Brake pedal released,0
2025-06-19 10:04:34.002 UTC,Brake pedal released,0
2025-06-19 10:04:34.103 UTC,Brake pedal released,0
2025-06-19 10:04:34.202 UTC,Brake pedal released,0
2025-06-19 10:04:34.302 UTC,Brake pedal released,0
2025-06-19 10:04:34.402 UTC,Brake pedal released,0
2025-06-19 10:04:34.502 UTC,Brake pedal released,0
2025-06-19 10:04:34.602 UTC,Brake pedal released,0
2025-06-19 10:04:34.702 UTC,Brake pedal released,0
2025-06-19 10:04:34.802 UTC,Brake pedal released,0
2025-06-19 10:04:34.902 UTC,Brake pedal released,0
2025-06-19 10:04:35.002 UTC,Brake pedal released,0
2025-06-19 10:04:35.103 UTC,Brake pedal released,0
2025-06-19 10:04:35.202 UTC,Brake pedal released,0
2025-06-19 10:04:35.302 UTC,Brake pedal released,0
2025-06-19 10:04:35.402 UTC,Brake pedal released,0
2025-06-19 10:04:35.502 UTC,Brake pedal released,0
2025-06-19 10:04:35.602 UTC,Brake pedal released,0
2025-06-19 10:04:35.702 UTC,Brake pedal released,0
2025-06-19 10:04:35.802 UTC,Brake pedal released,0
2025-06-19 10:04:35.902 UTC,Brake pedal released,0
2025-06-19 10:04:36.002 UTC,Brake pedal released,0
2025-06-19 10:04:36.103 UTC,Brake pedal released,0
2025-06-19 10:04:36.202 UTC,Brake pedal released,0
2025-06-19 10:04:36.302 UTC,Brake pedal released,0
2025-06-19 10:04:36.402 UTC,Brake pedal released,0
2025-06-19 10:04:36.502 UTC,Brake pedal released,0
2025-06-19 10:04:36.602 UTC,Brake pedal released,0
2025-06-19 10:04:36.702 UTC,Brake pedal released,0
2025-06-19 10:04:36.802 UTC,Brake pedal released,0
2025-06-19 10:04:36.902 UTC,Brake pedal released,0
2025-06-19 10:04:37.002 UTC,Brake pedal released,0
2025-06-19 10:04:37.102 UTC,Brake pedal released,0
2025-06-19 10:04:37.202 UTC,Brake pedal released,0
2025-06-19 10:04:37.302 UTC,Brake pedal released,0
2025-06-19 10:04:37.402 UTC,Brake pedal released,0
2025-06-19 10:04:37.502 UTC,Brake pedal released,0
2025-06-19 10:04:37.602 UTC,Brake pedal released,0
2025-06-19 10:04:37.702 UTC,Brake pedal released,0
2025-06-19 10:04:37.802 UTC,Brake pedal released,0
2025-06-19 10:04:37.902 UTC,Brake pedal released,0
2025-06-19 10:04:38.002 UTC,Brake pedal released,0
2025-06-19 10:04:38.102 UTC,Brake pedal released,0
2025-06-19 10:04:38.205 UTC,Brake pedal released,0
2025-06-19 10:04:38.302 UTC,Brake pedal released,0
2025-06-19 10:04:38.402 UTC,Brake pedal released,0
2025-06-19 10:04:38.502 UTC,Brake pedal released,0
2025-06-19 10:04:38.602 UTC,Brake pedal released,0
2025-06-19 10:04:38.702 UTC,Brake pedal released,0
2025-06-19 10:04:38.802 UTC,Brake pedal released,0
2025-06-19 10:04:38.902 UTC,Brake pedal released,0
2025-06-19 10:04:39.002 UTC,Brake pedal released,0
2025-06-19 10:04:39.102 UTC,Brake pedal released,0
2025-06-19 10:04:39.202 UTC,Brake pedal released,0
2025-06-19 10:04:39.302 UTC,Brake pedal released,0
2025-06-19 10:04:39.402 UTC,Brake pedal released,0
2025-06-19 10:04:39.502 UTC,Brake pedal released,0
2025-06-19 10:04:39.602 UTC,Brake pedal released,0
2025-06-19 10:04:39.702 UTC,Brake pedal released,0
2025-06-19 10:04:39.802 UTC,Brake pedal released,0
2025-06-19 10:04:39.902 UTC,Brake pedal released,0
2025-06-19 10:04:40.002 UTC,Brake pedal released,0
2025-06-19 10:04:40.102 UTC,Brake pedal released,0
2025-06-19 10:04:40.202 UTC,Brake pedal released,0
2025-06-19 10:04:40.302 UTC,Brake pedal released,0
2025-06-19 10:04:40.402 UTC,Brake pedal released,0
2025-06-19 10:04:40.502 UTC,Brake pedal released,0
2025-06-19 10:04:40.602 UTC,Brake pedal released,0
2025-06-19 10:04:40.702 UTC,Brake pedal released,0
2025-06-19 10:04:40.802 UTC,Brake pedal released,0
2025-06-19 10:04:40.902 UTC,Brake pedal released,0
2025-06-19 10:04:41.002 UTC,Brake pedal released,0
2025-06-19 10:04:41.103 UTC,Brake pedal released,0
2025-06-19 10:04:41.202 UTC,Brake pedal released,0
2025-06-19 10:04:41.307 UTC,Brake pedal released,0
2025-06-19 10:04:41.402 UTC,Brake pedal released,0
2025-06-19 10:04:41.502 UTC,Brake pedal released,0
2025-06-19 10:04:41.602 UTC,Brake pedal released,0
2025-06-19 10:04:41.702 UTC,Brake pedal released,0
2025-06-19 10:04:41.802 UTC,Brake pedal released,0
2025-06-19 10:04:41.902 UTC,Brake pedal released,0
2025-06-19 10:04:42.002 UTC,Brake pedal released,0
2025-06-19 10:04:42.102 UTC,Brake pedal released,0
2025-06-19 10:04:42.202 UTC,Brake pedal released,0
2025-06-19 10:04:42.302 UTC,Brake pedal released,0
2025-06-19 10:04:42.402 UTC,Brake pedal released,0
2025-06-19 10:04:42.502 UTC,Brake pedal released,0
2025-06-19 10:04:42.602 UTC,Brake pedal released,0
2025-06-19 10:04:42.702 UTC,Brake pedal released,0
2025-06-19 10:04:42.802 UTC,Brake pedal released,0
2025-06-19 10:04:42.902 UTC,Brake pedal released,0
2025-06-19 10:04:43.002 UTC,Brake pedal released,0
2025-06-19 10:04:43.102 UTC,Brake pedal released,0
2025-06-19 10:04:43.202 UTC,Brake pedal released,0
2025-06-19 10:04:43.302 UTC,Brake pedal released,0
2025-06-19 10:04:43.402 UTC,Brake pedal released,0
2025-06-19 10:04:43.502 UTC,Brake pedal depressed,1
2025-06-19 10:04:43.602 UTC,Brake pedal depressed,1
2025-06-19 10:04:43.702 UTC,Brake pedal depressed,1
2025-06-19 10:04:43.802 UTC,Brake pedal depressed,1
2025-06-19 10:04:43.902 UTC,Brake pedal depressed,1
2025-06-19 10:04:44.002 UTC,Brake pedal depressed,1
2025-06-19 10:04:44.102 UTC,Brake pedal depressed,1
2025-06-19 10:04:44.202 UTC,Brake pedal depressed,1
2025-06-19 10:04:44.302 UTC,Brake pedal depressed,1
2025-06-19 10:04:44.406 UTC,Brake pedal depressed,1
2025-06-19 10:04:44.502 UTC,Brake pedal depressed,1
2025-06-19 10:04:44.602 UTC,Brake pedal depressed,1
2025-06-19 10:04:44.702 UTC,Brake pedal released,0
2025-06-19 10:04:44.802 UTC,Brake pedal released,0
2025-06-19 10:04:44.902 UTC,Brake pedal released,0
2025-06-19 10:04:45.002 UTC,Brake pedal released,0
2025-06-19 10:04:45.102 UTC,Brake pedal released,0
2025-06-19 10:04:45.202 UTC,Brake pedal released,0
2025-06-19 10:04:45.302 UTC,Brake pedal released,0
2025-06-19 10:04:45.402 UTC,Brake pedal released,0
2025-06-19 10:04:45.502 UTC,Brake pedal released,0
2025-06-19 10:04:45.602 UTC,Brake pedal released,0
2025-06-19 10:04:45.702 UTC,Brake pedal released,0
2025-06-19 10:04:45.802 UTC,Brake pedal released,0
2025-06-19 10:04:45.902 UTC,Brake pedal released,0
2025-06-19 10:04:46.002 UTC,Brake pedal released,0
2025-06-19 10:04:46.102 UTC,Brake pedal released,0
2025-06-19 10:04:46.202 UTC,Brake pedal released,0
2025-06-19 10:04:46.302 UTC,Brake pedal released,0
2025-06-19 10:04:46.402 UTC,Brake pedal released,0
2025-06-19 10:04:46.502 UTC,Brake pedal released,0
2025-06-19 10:04:46.602 UTC,Brake pedal released,0
2025-06-19 10:04:46.702 UTC,Brake pedal released,0
2025-06-19 10:04:46.802 UTC,Brake pedal released,0
2025-06-19 10:04:46.903 UTC,Brake pedal released,0
2025-06-19 10:04:47.002 UTC,Brake pedal released,0
2025-06-19 10:04:47.102 UTC,Brake pedal released,0
2025-06-19 10:04:47.202 UTC,Brake pedal released,0
2025-06-19 10:04:47.302 UTC,Brake pedal released,0
2025-06-19 10:04:47.402 UTC,Brake pedal depressed,1
2025-06-19 10:04:47.505 UTC,Brake pedal depressed,1
2025-06-19 10:04:47.602 UTC,Brake pedal depressed,1
2025-06-19 10:04:47.702 UTC,Brake pedal depressed,1
2025-06-19 10:04:47.802 UTC,Brake pedal depressed,1
2025-06-19 10:04:47.902 UTC,Brake pedal depressed,1
2025-06-19 10:04:48.002 UTC,Brake pedal depressed,1
2025-06-19 10:04:48.102 UTC,Brake pedal depressed,1
2025-06-19 10:04:48.202 UTC,Brake pedal depressed,1
2025-06-19 10:04:48.302 UTC,Brake pedal depressed,1
